=== cleared on app start (version=2.1, time=21:41:30) ===
21:41:30.848 killPlatformApps: killed com.ucmobile.lite for UC
21:41:30.855 killPlatformApps: killed com.eg.android.AlipayGphone for ALIPAY
21:41:30.856 killPlatformApps: killed com.taobao.taobao for TAOBAO
21:41:35.678 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.710 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.751 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.788 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:35.849 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.885 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.911 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:35.938 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.114 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.289 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:36.313 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.332 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.351 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:36.373 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.392 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.417 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.440 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:36.457 collectTaskContextText: result='', buttonText='13s后领取', containerFound=false
21:41:36.476 collectTaskContextText: result='', buttonText='13s后领取', containerFound=false
21:41:36.497 collectTaskContextText: result='', buttonText='13s后领取', containerFound=false
21:41:36.517 collectTaskContextText: result='', buttonText='13s后领取', containerFound=false
21:41:36.537 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.554 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.602 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.626 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.675 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:36.864 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.908 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:36.956 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.002 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.042 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:37.082 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.155 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.215 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.270 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.324 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:37.395 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.468 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.519 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:37.593 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:37.635 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.663 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.744 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.780 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.820 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.860 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:37.897 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:37.932 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.964 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:37.997 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:38.038 collectTaskContextText: result='', buttonText='12s后领取', containerFound=false
21:41:38.082 collectTaskContextText: result='', buttonText='12s后领取', containerFound=false
21:41:38.124 collectTaskContextText: result='', buttonText='12s后领取', containerFound=false
21:41:38.202 collectTaskContextText: result='', buttonText='12s后领取', containerFound=false
21:41:38.253 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:38.322 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.383 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.453 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.514 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:38.566 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:38.629 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.683 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.742 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:38.774 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.806 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.848 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.887 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.914 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:38.943 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.968 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:38.999 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.028 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:39.063 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.098 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.158 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.197 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.236 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:39.269 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.297 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.326 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.362 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.392 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:39.419 collectTaskContextText: result='', buttonText='11s后领取', containerFound=false
21:41:39.446 collectTaskContextText: result='', buttonText='11s后领取', containerFound=false
21:41:39.485 collectTaskContextText: result='', buttonText='11s后领取', containerFound=false
21:41:39.515 collectTaskContextText: result='', buttonText='11s后领取', containerFound=false
21:41:39.548 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.578 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.607 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:39.635 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.671 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.707 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.732 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.754 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.776 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:39.815 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.859 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.899 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.926 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:39.956 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:39.988 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.018 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.054 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.086 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.126 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.208 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.257 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.318 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.370 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.421 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.489 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.535 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.581 collectTaskContextText: result='', buttonText='10s后领取', containerFound=false
21:41:40.624 collectTaskContextText: result='', buttonText='10s后领取', containerFound=false
21:41:40.659 collectTaskContextText: result='', buttonText='10s后领取', containerFound=false
21:41:40.733 collectTaskContextText: result='', buttonText='10s后领取', containerFound=false
21:41:40.775 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.815 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:40.852 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.901 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.944 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:40.988 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:41.034 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:41.069 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:41.102 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.218 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.264 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:41.322 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.373 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.432 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.483 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.510 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:41.536 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.566 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.596 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.623 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:41.661 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.696 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.736 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.771 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.806 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:41.845 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.872 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.912 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:41.965 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:42.022 collectTaskContextText: result='', buttonText='9s后领取', containerFound=false
21:41:42.084 collectTaskContextText: result='', buttonText='9s后领取', containerFound=false
21:41:42.145 collectTaskContextText: result='', buttonText='9s后领取', containerFound=false
21:41:42.235 collectTaskContextText: result='', buttonText='9s后领取', containerFound=false
21:41:42.278 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.343 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.420 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.479 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.527 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:42.580 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.647 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.714 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:42.773 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.808 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.849 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.896 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:42.925 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.956 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:42.987 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.022 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.059 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.092 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.133 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.183 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.217 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.246 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.275 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.306 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.342 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.379 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.408 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.440 collectTaskContextText: result='', buttonText='8s后领取', containerFound=false
21:41:43.479 collectTaskContextText: result='', buttonText='8s后领取', containerFound=false
21:41:43.512 collectTaskContextText: result='', buttonText='8s后领取', containerFound=false
21:41:43.540 collectTaskContextText: result='', buttonText='8s后领取', containerFound=false
21:41:43.574 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.610 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.645 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.683 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.719 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.754 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.785 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.813 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.842 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.871 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:43.906 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.945 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:43.979 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.008 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.036 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:44.068 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.102 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.167 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.234 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.272 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:44.307 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.339 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.368 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.395 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:44.427 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.455 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.484 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.519 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.556 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:44.592 collectTaskContextText: result='', buttonText='7s后领取', containerFound=false
21:41:44.623 collectTaskContextText: result='', buttonText='7s后领取', containerFound=false
21:41:44.665 collectTaskContextText: result='', buttonText='7s后领取', containerFound=false
21:41:44.700 collectTaskContextText: result='', buttonText='7s后领取', containerFound=false
21:41:44.729 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.760 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.787 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:44.814 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.843 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.874 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.914 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:44.943 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:44.979 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.011 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.058 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.115 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:45.225 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.273 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.319 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.368 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.414 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:45.454 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.510 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.570 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.651 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.727 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:45.776 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:45.828 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:45.877 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.935 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:45.992 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.051 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.111 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.222 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:46.258 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:46.311 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.376 collectTaskContextText: result='', buttonText='6s后领取', containerFound=false
21:41:46.428 collectTaskContextText: result='', buttonText='6s后领取', containerFound=false
21:41:46.482 collectTaskContextText: result='', buttonText='6s后领取', containerFound=false
21:41:46.543 collectTaskContextText: result='', buttonText='6s后领取', containerFound=false
21:41:46.624 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.684 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.768 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:46.837 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.894 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:46.945 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:47.000 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:47.058 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:47.114 collectTaskContextText: result='', buttonText='', containerFound=false
